Name,Gender,Age,domain,courses did,skills,certificates or course,Interested,interested career preference,intrested company,Interested Type of Books,Management or Technical,hard/smart worker,Suggested Job Role,raw_role,mapped_role
John Doe,Male,28,software/technology,no,information security,testing,programming,testing,BPA,Series,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Jane Smith,Female,32,software/technology,yes,shell programming,testing,Management,system developer,Cloud Services,Autobiographies,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Bob Johnson,Male,24,software/technology,yes,information security,testing,data engineering,Business process analyst,product development,Travel,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Emily Davis,Female,26,software/technology,yes,r programming,database security,networks,testing,Testing and Maintainance Services,Guide,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Michael Brown,Male,30,software/technology,no,distro making,game development,Software Engineering,system developer,BPA,Health,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Sarah Wilson,Female,27,software/technology,yes,distro making,data science,cloud computing,security,Cloud Services,Journals,Management,hard worker,Applications Developer,Applications Developer,software_engineering
David Lee,Male,35,software/technology,yes,machine learning,system designing,cloud computing,testing,Cloud Services,Anthology,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Laura Martinez,Female,29,software/technology,no,machine learning,hacking,parallel computing,developer,BPA,Dictionaries,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Kevin White,Male,31,software/technology,yes,full stack,game development,programming,Business process analyst,SAaS services,Prayer books,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Karen Thompson,Female,33,software/technology,yes,machine learning,cloud computing,networks,system developer,SAaS services,Art,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Richard Anderson,Male,40,software/technology,yes,full stack,data science,IOT,developer,Web Services,Journals,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Jessica Taylor,Male,22,software/technology,no,information security,web tech,medium,parallel computing,Business process analyst,no,Encyclopedias,Management,Applications Developer,Applications Developer,software_engineering
Daniel Moore,Female,26,software/technology,yes,hadoop,hacking,networks,Business process analyst,Sales and Marketing,Religion-Spirituality,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Olivia Jackson,Male,28,software/technology,yes,shell programming,cloud computing,Computer Architecture,security,Sales and Marketing,Action and Adventure,Management,smart worker,Applications Developer,Applications Developer,software_engineering
William Martin,Female,34,software/technology,yes,hadoop,cloud computing,Software Engineering,cloud computing,Product based,Comics,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Sophia Lee,Male,30,software/technology,no,distro making,database security,Computer Architecture,system developer,Testing and Maintainance Services,Horror,Management,hard worker,Applications Developer,Applications Developer,software_engineering
James Perez,Female,29,software/technology,no,r programming,hacking,networks,developer,Cloud Services,Satire,Technical,hard worker,Applications Developer,Applications Developer,software_engineering
Ava Thompson,Male,25,software/technology,yes,information security,game development,hacking,testing,Testing and Maintainance Services,Dictionaries,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Henry Gonzalez,Female,31,software/technology,no,information security,database security,data engineering,cloud computing,Product based,Health,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Mia Robinson,Male,27,software/technology,yes,distro making,database security,Computer Architecture,security,Cloud Services,Horror,Technical,smart worker,Applications Developer,Applications Developer,software_engineering
Ethan Clark,Female,24,software/technology,no,information security,data science,hacking,system developer,Sales and Marketing,Series,Management,smart worker,Applications Developer,Applications Developer,software_engineering
Isabella Rodriguez,Male,28,software/technology,no,r programming,cloud computing,cloud computing,Business process analyst,SAaS services,Self help,Management,hard worker,Applications Developer,Applications Developer,software_engineering
Liam Lewis,Male,26,software/technology,yes,hadoop,game development,cloud computing,testing,BPA,Guide,Management,smart worker,Applications Developer,Applications Developer,software_engineering
